symbol,name
ADM,Admiral Group
AAL,Anglo American
ANTO,Antofagasta Holdings
AHT,Ashtead Group plc
ABF,Associated British Foods plc
AZN,AstraZeneca plc
AUTO,Auto Trader Group plc
AVV,AVEVA Group plc
AV.,Aviva plc
BA.,BAE Systems plc
BARC,Barclays plc
BDEV,Barratt Developments plc
BKG,Berkeley Group Holdings plc
BHP,BHP Group Plc
BP.,BP Plc
BATS,British American Tobacco plc
BLND,British Land Co plc
BT.A,BT Group plc
BNZL,Bunzl plc
BRBY,Burberry Group plc
CCL,Carnival plc
CNA,Centrica plc
CCH,Coca-Cola HBC AG
CPG,Compass Group plc
CRH,CRH plc
CRDA,Croda International plc
DCC,DCC plc
DGE,Diageo plc
EVR,Evraz plc
EXPN,Experian Plc
FERG,Ferguson plc
FLTR,Flutter Entertainment
FRES,Fresnillo
GSK,GlaxoSmithKline plc
GLEN,Glencore plc
HLMA,Halma plc
HL.,Hargreaves Lansdown plc
HIK,Hikma Pharmaceuticals
HSX,Hiscox Ltd
HSBA,HSBC Holdings plc
IMB,Imperial Brands Group
INF,Informa plc
IHG,InterContinental Hotels Group plc
IAG,International Consolidated Airlines Group SA
ITRK,Intertek Group plc
ITV,ITV plc
JD.,JD Sports Fashion plc
JMAT,Johnson Matthey Plc
KGF,Kingfisher
LAND,Land Securities Group plc
LGEN,Legal & General Group plc
LLOY,Lloyds Banking Group plc
LSE,London Stock Exchange Group plc
MNG,M&G plc
MGGT,Meggitt
MRO,Melrose Industries plc
MNDI,Mondi Plc
MRW,Morrison (Wm) Supermarkets
NG.,National Grid
NXT,Next plc
NMC,NMC Health Plc
OCDO,Ocado Group plc
PSON,Pearson plc
PSN,Persimmon plc
PHNX,Phoenix Group Holdings Plc
POLY,Polymetal International plc
PRU,Prudential plc
RB.,Reckitt Benckiser Group Plc
REL,RELX plc
RTO,Rentokil Initial Plc
RMV,Rightmove plc
RIO,Rio Tinto plc
RR.,Rolls Royce Holdings Plc
RBS,Royal Bank of Scotland Group plc
RDSa,Royal Dutch Shell Plc A Shares
RDSb,Royal Dutch Shell Plc B Shares
RSA,RSA Insurance Group
SGE,Sage Group plc
SBRY,Sainsbury (J) plc
SDR,Schroders plc
SMT,Scottish Mortgage Investment Trust
SGRO,Segro Plc
SVT,Severn Trent Plc
SN.,Smith & Nephew plc
SMDS,Smith (DS)
SMIN,Smiths Group Plc
SKG,Smurfit Kappa Group Plc
SPX,Spirax-Sarco Engineering plc
SSE,SSE plc
STJ,St James's Place Plc
STAN,Standard Chartered plc
SLA,Standard Life Aberdeen Plc
TW.,Taylor Wimpey plc
TSCO,Tesco plc
TUI,TUI AG
ULVR,Unilever plc
UU.,United Utilities Group Plc
VOD,Vodafone Group plc
WTB,Whitbread plc
WPP,WPP plc
